T08,"Teaching staff at the primary, secondary and tertiary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Teachers at primary level (thousands),"26,888",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2005,Pupil-teacher ratio in primary education,25.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2005,Teachers at secondary level (thousands),"28,398",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2005,Pupil-teacher ratio in secondary education,17.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2005,Teachers at tertiary level (thousands),"9,217",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2010,Teachers at primary level (thousands),"28,658",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2010,Pupil-teacher ratio in primary education,24.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2010,Teachers at secondary level (thousands),"32,248",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2010,Pupil-teacher ratio in secondary education,16.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2010,Teachers at tertiary level (thousands),"11,143",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2015,Teachers at primary level (thousands),"31,145",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2015,Pupil-teacher ratio in primary education,23.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2015,Teachers at secondary level (thousands),"33,353",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2015,Pupil-teacher ratio in secondary education,17.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2015,Teachers at tertiary level (thousands),"12,880",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
1,"Total, all countries or areas",2016,Teachers at primary level (thousands),"31,316",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
