Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Labour force participation - Total,64.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
1,"Total, all countries or areas",2005,Unemployment rate - Total,6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
1,"Total, all countries or areas",2005,Labour force participation - Male,77.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
1,"Total, all countries or areas",2005,Unemployment rate - Male,5.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
1,"Total, all countries or areas",2005,Labour force participation - Female,51.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
1,"Total, all countries or areas",2005,Unemployment rate - Female,6.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
1,"Total, all countries or areas",2010,Labour force participation - Total,62.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
1,"Total, all countries or areas",2010,Unemployment rate - Total,5.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
1,"Total, all countries or areas",2010,Labour force participation - Male,76.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
1,"Total, all countries or areas",2010,Unemployment rate - Male,5.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
1,"Total, all countries or areas",2010,Labour force participation - Female,49.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
1,"Total, all countries or areas",2010,Unemployment rate - Female,6.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
1,"Total, all countries or areas",2015,Labour force participation - Total,62.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
